AP1,AP2,AP3,AP4,AP5,AP6,AP7,Class
-63,-51,-50,-63,-67,-83,-79,1
-61,-53,-54,-58,-71,-82,-86,1
-56,-53,-58,-64,-71,-84,-87,1
-58,-54,-62,-66,-76,-83,-86,1
-62,-60,-64,-74,-76,-81,-91,1
-64,-59,-68,-67,-74,-82,-82,1
-66,-59,-70,-69,-76,-87,-89,1
-64,-59,-65,-64,-74,-88,-90,1
-64,-54,-65,-63,-71,-85,-89,1
-63,-57,-65,-71,-75,-82,-86,1
-62,-56,-64,-69,-75,-81,-84,1
-63,-58,-65,-66,-78,-81,-88,1
-63,-58,-65,-66,-73,-86,-89,1
-65,-60,-65,-66,-73,-84,-93,1
-63,-58,-64,-67,-74,-87,-87,1
-64,-59,-66,-63,-74,-87,-87,1
-64,-54,-56,-65,-74,-85,-87,1
-62,-55,-63,-61,-68,-81,-83,1
-60,-54,-57,-66,-64,-81,-83,1
-59,-55,-65,-62,-62,-81,-77,1
-63,-52,-56,-59,-66,-80,-80,1
-60,-59,-58,-63,-72,-82,-79,1
-62,-55,-61,-60,-63,-84,-80,1
-62,-51,-58,-61,-63,-77,-80,1
-56,-50,-56,-62,-61,-79,-85,1
-62,-51,-53,-60,-67,-78,-85,1
-58,-55,-58,-61,-67,-78,-80,1
-60,-53,-60,-62,-73,-81,-82,1
-60,-53,-59,-64,-70,-80,-90,1
-60,-56,-58,-65,-70,-80,-87,1
-59,-54,-59,-64,-74,-80,-81,1
-62,-55,-58,-68,-69,-83,-88,1
-62,-58,-59,-66,-68,-87,-88,1
-63,-58,-56,-66,-73,-87,-83,1
-56,-47,-56,-61,-67,-78,-88,1
-62,-51,-54,-59,-64,-77,-81,1
-62,-51,-61,-71,-67,-79,-80,1
-58,-54,-58,-58,-67,-84,-88,1
-57,-54,-56,-56,-68,-79,-82,1
-56,-54,-58,-62,-68,-77,-81,1
-60,-58,-62,-61,-62,-81,-84,1
-60,-55,-58,-57,-75,-74,-82,1
-61,-56,-57,-56,-75,-74,-81,1
-58,-55,-59,-58,-72,-77,-81,1
-59,-49,-53,-59,-62,-81,-83,1
-60,-52,-51,-59,-73,-79,-81,1
-57,-56,-56,-61,-70,-77,-77,1
-57,-57,-59,-61,-67,-80,-83,1
-62,-50,-61,-64,-73,-80,-81,1
-62,-54,-62,-68,-80,-80,-78,1
-63,-57,-63,-64,-73,-86,-81,1
-62,-57,-54,-66,-71,-81,-83,1
-61,-55,-59,-58,-66,-79,-78,1
-60,-59,-56,-63,-64,-82,-81,1
-56,-53,-64,-61,-72,-84,-81,1
-57,-53,-56,-58,-68,-75,-80,1
-60,-55,-60,-59,-67,-81,-87,1
-62,-56,-57,-63,-69,-87,-91,1
-58,-59,-56,-64,-68,-82,-87,1
-63,-56,-61,-61,-68,-83,-87,1
-64,-57,-63,-59,-69,-82,-86,1
-64,-61,-62,-65,-70,-85,-87,1
-61,-58,-60,-61,-74,-78,-83,1
-65,-56,-63,-66,-80,-83,-88,1
-62,-56,-63,-66,-74,-82,-80,1
-62,-49,-59,-63,-62,-80,-79,1
-58,-54,-52,-61,-74,-75,-82,1
-62,-52,-57,-60,-70,-81,-74,1
-65,-53,-53,-57,-64,-87,-80,1
-59,-51,-58,-57,-64,-76,-85,1
-57,-54,-59,-63,-65,-80,-80,1
-62,-50,-57,-59,-72,-82,-84,1
-56,-51,-62,-62,-71,-77,-82,1
-57,-56,-58,-58,-66,-85,-80,1
-58,-54,-61,-59,-68,-78,-76,1
-62,-56,-61,-65,-74,-78,-76,1
-60,-54,-61,-65,-70,-82,-88,1
-62,-63,-62,-65,-68,-87,-86,1
-62,-57,-61,-64,-68,-82,-82,1
-60,-58,-57,-65,-69,-80,-89,1
-62,-56,-59,-68,-74,-95,-84,1
-60,-53,-59,-64,-65,-76,-81,1
-60,-54,-57,-60,-66,-80,-88,1
-59,-55,-61,-65,-68,-84,-84,1
-58,-49,-55,-60,-70,-78,-80,1
-62,-49,-56,-63,-67,-78,-80,1
-63,-48,-54,-65,-67,-82,-80,1
-57,-56,-54,-69,-75,-83,-81,1
-62,-55,-59,-63,-72,-76,-87,1
-61,-50,-59,-67,-65,-79,-86,1
-66,-56,-54,-69,-65,-82,-82,1
-63,-54,-55,-67,-71,-82,-87,1
-60,-57,-58,-64,-70,-84,-79,1
-61,-56,-58,-67,-68,-80,-81,1
-61,-62,-64,-65,-73,-81,-90,1
-66,-58,-58,-68,-73,-85,-78,1
-66,-56,-57,-66,-73,-84,-87,1
-63,-54,-55,-64,-72,-84,-81,1
-58,-53,-58,-64,-73,-82,-82,1
-58,-48,-59,-59,-64,-84,-77,1
-56,-55,-59,-68,-74,-84,-79,1
-59,-54,-63,-72,-75,-81,-78,1
-58,-56,-61,-66,-75,-84,-78,1
-61,-54,-57,-67,-67,-82,-84,1
-62,-56,-67,-63,-68,-82,-86,1
-59,-54,-56,-65,-74,-79,-85,1
-58,-59,-59,-65,-65,-82,-94,1
-63,-54,-61,-66,-73,-84,-88,1
-63,-57,-58,-62,-73,-86,-85,1
-64,-52,-63,-62,-71,-84,-79,1
-62,-57,-58,-65,-71,-87,-86,1
-57,-56,-60,-58,-70,-79,-84,1
-57,-54,-57,-61,-62,-80,-79,1
-63,-59,-65,-62,-65,-83,-80,1
-62,-59,-61,-59,-69,-82,-83,1
-56,-56,-62,-64,-70,-79,-86,1
-57,-52,-60,-61,-66,-81,-85,1
-59,-55,-58,-61,-67,-77,-79,1
-57,-56,-59,-59,-64,-79,-78,1
-58,-58,-61,-59,-69,-81,-80,1
-62,-58,-57,-58,-69,-94,-77,1
-59,-60,-60,-62,-67,-94,-77,1
-62,-55,-58,-62,-67,-81,-77,1
-59,-54,-60,-60,-66,-83,-78,1
-63,-55,-63,-62,-68,-89,-85,1
-63,-59,-61,-61,-66,-79,-80,1
-59,-57,-59,-64,-73,-79,-84,1
-62,-53,-61,-59,-74,-84,-81,1
-58,-51,-59,-65,-74,-86,-82,1
-60,-55,-58,-61,-72,-83,-82,1
-63,-57,-57,-65,-75,-83,-76,1
-64,-57,-56,-63,-68,-85,-81,1
-59,-57,-63,-66,-65,-82,-78,1
-63,-60,-58,-64,-66,-83,-90,1
-65,-56,-60,-66,-74,-89,-90,1
-61,-56,-63,-62,-73,-87,-91,1
-62,-59,-61,-66,-75,-86,-80,1
-63,-52,-61,-64,-75,-80,-83,1
-58,-51,-59,-63,-69,-81,-80,1
-61,-56,-65,-65,-66,-77,-81,1
-61,-56,-62,-67,-66,-81,-88,1
-59,-55,-63,-67,-66,-82,-86,1
-62,-55,-65,-59,-69,-86,-87,1
-61,-54,-64,-59,-68,-86,-88,1
-61,-56,-65,-59,-68,-86,-88,1
-61,-57,-65,-59,-67,-86,-87,1
-60,-57,-66,-60,-68,-87,-89,1
-61,-59,-63,-60,-69,-87,-88,1
-63,-58,-66,-63,-68,-87,-83,1
-63,-57,-59,-66,-71,-82,-83,1
-59,-52,-61,-61,-76,-75,-78,1
-65,-62,-60,-65,-68,-83,-82,1
-66,-53,-58,-63,-69,-81,-80,1
-66,-53,-59,-62,-69,-81,-79,1
-60,-56,-62,-61,-69,-82,-81,1
-56,-50,-58,-63,-68,-83,-83,1
-59,-59,-58,-62,-64,-78,-81,1
-60,-57,-58,-66,-65,-77,-80,1
-59,-56,-58,-68,-62,-80,-81,1
-59,-54,-57,-65,-62,-80,-82,1
-58,-53,-61,-62,-64,-78,-81,1
-59,-60,-61,-66,-66,-81,-85,1
-56,-58,-60,-59,-66,-80,-77,1
-57,-59,-58,-66,-67,-78,-82,1
-62,-53,-58,-65,-67,-82,-84,1
-60,-59,-61,-62,-68,-81,-85,1
-61,-57,-63,-67,-72,-77,-82,1
-61,-55,-62,-62,-65,-82,-81,1
-57,-55,-58,-64,-65,-87,-79,1
-61,-52,-54,-63,-64,-84,-82,1
-61,-54,-54,-67,-60,-81,-83,1
-59,-57,-53,-61,-63,-79,-87,1
-62,-54,-55,-61,-63,-84,-81,1
-62,-54,-58,-64,-65,-77,-85,1
-59,-54,-58,-59,-63,-81,-80,1
-58,-55,-58,-61,-64,-81,-84,1
-61,-54,-64,-63,-68,-83,-81,1
-62,-57,-61,-63,-65,-83,-82,1
-67,-56,-65,-68,-69,-83,-82,1
-63,-57,-60,-64,-72,-80,-78,1
-62,-57,-63,-67,-66,-87,-80,1
-63,-57,-66,-66,-68,-83,-81,1
-62,-57,-59,-72,-73,-86,-82,1
-64,-66,-54,-67,-70,-83,-82,1
-62,-63,-57,-69,-71,-82,-82,1
-64,-64,-58,-75,-68,-82,-80,1
-64,-62,-57,-69,-67,-77,-81,1
-63,-63,-57,-68,-71,-79,-82,1
-61,-55,-58,-67,-69,-84,-86,1
-65,-51,-59,-61,-66,-81,-84,1
-61,-58,-60,-64,-73,-81,-82,1
-64,-55,-62,-66,-65,-85,-81,1
-62,-59,-59,-64,-65,-80,-81,1
-59,-55,-56,-64,-69,-83,-84,1
-64,-56,-60,-61,-67,-78,-85,1
-60,-56,-56,-64,-67,-84,-85,1
-58,-54,-59,-62,-68,-79,-87,1
-59,-52,-61,-57,-69,-83,-78,1
-56,-55,-56,-59,-64,-83,-83,1
-60,-56,-56,-63,-65,-80,-83,1
-59,-53,-64,-60,-68,-82,-81,1
-58,-52,-64,-64,-66,-88,-83,1
-59,-51,-64,-57,-69,-80,-80,1
-58,-50,-59,-58,-68,-80,-81,1
-61,-53,-53,-61,-63,-77,-81,1
-58,-50,-55,-54,-61,-84,-87,1
-60,-58,-56,-65,-68,-79,-86,1
-62,-56,-59,-58,-67,-78,-79,1
-62,-59,-62,-60,-68,-80,-89,1
-61,-58,-64,-61,-64,-78,-82,1
-61,-59,-62,-61,-66,-80,-88,1
-60,-51,-59,-63,-68,-81,-76,1
-60,-58,-57,-59,-66,-82,-83,1
-61,-54,-60,-62,-66,-79,-85,1
-59,-54,-60,-65,-66,-80,-90,1
-61,-59,-62,-65,-66,-81,-83,1
-61,-56,-61,-74,-69,-87,-89,1
-66,-55,-60,-69,-66,-85,-87,1
-64,-58,-60,-68,-66,-86,-88,1
-66,-58,-64,-67,-71,-85,-87,1
-62,-59,-62,-63,-65,-87,-87,1
-60,-56,-59,-66,-68,-81,-83,1
-59,-53,-58,-66,-65,-82,-78,1
-62,-54,-60,-61,-71,-86,-80,1
-61,-59,-54,-65,-66,-81,-89,1
-62,-57,-58,-63,-70,-85,-86,1
-63,-59,-57,-65,-69,-80,-86,1
-67,-61,-63,-65,-71,-81,-87,1
-64,-55,-60,-74,-66,-87,-87,1
-65,-57,-62,-70,-67,-85,-87,1
-64,-57,-60,-70,-69,-86,-83,1
-65,-58,-61,-71,-69,-87,-83,1
-64,-56,-61,-73,-66,-88,-83,1
-62,-57,-60,-64,-67,-80,-88,1
-60,-53,-60,-67,-64,-81,-79,1
-61,-60,-60,-65,-67,-82,-78,1
-63,-58,-62,-65,-68,-81,-74,1
-59,-56,-61,-66,-71,-83,-82,1
-63,-59,-61,-68,-71,-81,-87,1
-63,-58,-61,-67,-69,-86,-85,1
-64,-56,-58,-71,-69,-88,-84,1
-68,-51,-59,-67,-65,-80,-87,1
-63,-57,-63,-64,-67,-81,-83,1
-66,-57,-64,-61,-69,-82,-88,1
-64,-57,-60,-60,-65,-80,-91,1
-58,-50,-61,-68,-64,-85,-91,1
-59,-58,-62,-67,-65,-80,-83,1
-63,-61,-61,-63,-68,-82,-83,1
-65,-58,-61,-62,-71,-81,-86,1
-63,-59,-60,-65,-69,-81,-84,1
-65,-59,-61,-67,-70,-80,-83,1
-66,-57,-59,-64,-69,-82,-84,1
-62,-57,-60,-61,-69,-93,-90,1
-63,-58,-58,-64,-66,-81,-83,1
-62,-58,-58,-63,-68,-82,-84,1
-62,-56,-57,-64,-65,-85,-83,1
-62,-57,-56,-63,-66,-84,-82,1
-62,-55,-54,-62,-69,-79,-81,1
-62,-53,-59,-62,-66,-82,-87,1
-65,-56,-62,-62,-68,-83,-90,1
-65,-54,-60,-64,-65,-87,-82,1
-60,-53,-60,-61,-69,-81,-83,1
-59,-56,-62,-59,-67,-75,-78,1
-61,-52,-60,-61,-68,-80,-84,1
-64,-60,-63,-63,-72,-86,-84,1
-62,-51,-58,-65,-72,-80,-88,1
-60,-54,-56,-64,-70,-78,-80,1
-62,-53,-62,-64,-68,-79,-82,1
-63,-51,-57,-60,-66,-79,-82,1
-63,-51,-58,-63,-68,-81,-87,1
-66,-52,-63,-63,-68,-80,-87,1
-62,-58,-59,-59,-67,-80,-77,1
-62,-56,-61,-63,-65,-83,-89,1
-61,-51,-60,-63,-66,-82,-87,1
-62,-53,-64,-65,-69,-85,-85,1
-64,-55,-54,-64,-68,-89,-81,1
-65,-54,-56,-64,-66,-79,-81,1
-66,-56,-59,-62,-67,-80,-78,1
-60,-62,-66,-66,-71,-84,-85,1
-62,-64,-62,-65,-75,-82,-86,1
-61,-56,-63,-77,-67,-82,-96,1
-64,-52,-59,-59,-66,-86,-87,1
-60,-54,-59,-65,-66,-83,-84,1
-61,-58,-58,-62,-66,-81,-81,1
-62,-54,-60,-61,-70,-79,-81,1
-61,-57,-59,-62,-69,-78,-83,1
-64,-57,-63,-59,-68,-82,-83,1
-63,-57,-66,-63,-68,-82,-82,1
-58,-57,-66,-61,-68,-85,-83,1
-61,-56,-67,-61,-69,-82,-87,1
-60,-56,-67,-62,-69,-82,-86,1
-61,-56,-66,-65,-71,-85,-88,1
-60,-57,-66,-64,-70,-84,-88,1
-61,-56,-64,-61,-72,-83,-86,1
-60,-57,-63,-62,-72,-85,-86,1
-62,-60,-61,-66,-69,-80,-86,1
-64,-59,-62,-63,-69,-84,-81,1
-61,-58,-60,-62,-70,-81,-85,1
-65,-61,-63,-63,-69,-82,-84,1
-68,-56,-65,-67,-76,-87,-85,1
-67,-56,-60,-66,-73,-93,-87,1
-66,-55,-64,-71,-75,-94,-83,1
-65,-57,-63,-71,-76,-87,-86,1
-64,-56,-64,-71,-75,-87,-87,1
-64,-57,-63,-71,-77,-87,-83,1
-65,-58,-65,-65,-74,-89,-85,1
-67,-65,-67,-68,-75,-87,-84,1
-70,-62,-62,-67,-69,-88,-86,1
-64,-58,-60,-67,-68,-84,-81,1
-62,-53,-57,-60,-69,-87,-86,1
-61,-56,-60,-58,-67,-79,-82,1
-65,-54,-65,-70,-74,-83,-82,1
-67,-57,-67,-68,-75,-85,-80,1
-67,-55,-68,-67,-74,-83,-83,1
-68,-57,-66,-69,-76,-81,-82,1
-67,-56,-65,-66,-75,-83,-81,1
-68,-55,-66,-68,-75,-82,-83,1
-67,-57,-64,-68,-75,-82,-82,1
-68,-55,-73,-65,-76,-82,-82,1
-68,-55,-67,-70,-76,-82,-81,1
-68,-56,-66,-69,-75,-82,-83,1
-68,-57,-67,-68,-75,-83,-83,1
-67,-56,-67,-70,-74,-81,-82,1
-69,-59,-70,-67,-75,-82,-82,1
-63,-58,-59,-65,-74,-86,-84,1
-68,-55,-63,-61,-74,-79,-85,1
-67,-57,-60,-60,-75,-83,-87,1
-68,-57,-60,-61,-73,-87,-87,1
-66,-56,-60,-63,-74,-87,-93,1
-69,-58,-56,-61,-73,-81,-93,1
-66,-57,-61,-61,-73,-81,-90,1
-66,-57,-62,-61,-74,-81,-89,1
-65,-57,-60,-64,-74,-81,-90,1
-66,-57,-60,-68,-74,-82,-88,1
-66,-57,-64,-62,-68,-87,-88,1
-63,-57,-64,-69,-75,-85,-83,1
-66,-58,-64,-63,-73,-83,-86,1
-62,-58,-62,-65,-75,-90,-81,1
-62,-59,-62,-63,-74,-86,-81,1
-66,-58,-61,-63,-73,-81,-85,1
-66,-60,-62,-62,-70,-82,-85,1
-60,-52,-59,-65,-66,-82,-80,1
-61,-59,-58,-62,-65,-78,-78,1
-60,-57,-58,-59,-70,-76,-80,1
-62,-52,-56,-63,-64,-78,-81,1
-58,-56,-51,-59,-65,-81,-84,1
-59,-57,-60,-58,-67,-80,-79,1
-59,-57,-60,-60,-63,-81,-77,1
-55,-53,-57,-67,-64,-80,-78,1
-57,-53,-54,-61,-73,-86,-81,1
-62,-52,-59,-62,-64,-80,-81,1
-61,-55,-56,-66,-73,-79,-80,1
-62,-55,-64,-61,-60,-81,-77,1
-60,-51,-61,-63,-64,-86,-81,1
-60,-59,-55,-66,-66,-82,-86,1
-61,-54,-60,-60,-64,-79,-81,1
-59,-52,-58,-65,-66,-82,-80,1
-64,-52,-57,-61,-66,-82,-81,1
-64,-50,-55,-63,-66,-78,-82,1
-61,-53,-52,-60,-72,-75,-81,1
-61,-52,-58,-59,-70,-76,-79,1
-62,-53,-55,-60,-68,-76,-79,1
-62,-51,-54,-60,-74,-74,-82,1
-61,-57,-58,-62,-67,-78,-76,1
-59,-50,-56,-59,-62,-78,-79,1
-59,-49,-57,-58,-65,-76,-79,1
-42,-53,-62,-38,-66,-65,-69,2
-44,-55,-61,-41,-66,-72,-68,2
-41,-58,-56,-40,-73,-69,-73,2
-40,-55,-56,-41,-70,-74,-73,2
-38,-55,-53,-37,-72,-71,-73,2
-38,-54,-56,-45,-56,-72,-68,2
-38,-52,-54,-38,-64,-73,-77,2
-37,-59,-57,-38,-69,-68,-73,2
-37,-61,-61,-37,-71,-68,-73,2
-37,-56,-56,-38,-68,-70,-66,2
-37,-59,-57,-43,-73,-65,-66,2
-39,-54,-61,-43,-75,-64,-74,2
-42,-57,-61,-43,-73,-67,-66,2
-40,-56,-58,-42,-67,-62,-71,2
-41,-56,-54,-41,-76,-65,-68,2
-43,-55,-55,-39,-69,-67,-71,2
-41,-56,-56,-38,-72,-67,-70,2
-41,-56,-60,-39,-72,-74,-66,2
-44,-52,-60,-37,-66,-67,-73,2
-43,-55,-63,-37,-64,-67,-76,2
-40,-59,-57,-43,-74,-65,-66,2
-38,-57,-61,-38,-69,-73,-70,2
-39,-62,-58,-37,-69,-73,-72,2
-35,-58,-61,-38,-67,-71,-71,2
-26,-55,-55,-38,-71,-71,-70,2
-38,-58,-59,-41,-65,-68,-74,2
-27,-55,-57,-37,-67,-71,-71,2
-19,-59,-67,-35,-65,-66,-74,2
-18,-63,-62,-38,-72,-71,-73,2
-14,-58,-60,-38,-74,-74,-73,2
-17,-66,-61,-37,-68,-75,-77,2
-16,-70,-58,-14,-73,-71,-80,2
-19,-62,-56,-13,-74,-72,-77,2
-18,-62,-56,-15,-71,-70,-79,2
-18,-62,-59,-14,-73,-71,-78,2
-17,-63,-60,-14,-72,-72,-77,2
-17,-61,-60,-15,-72,-69,-79,2
-17,-74,-60,-15,-73,-71,-80,2
-16,-59,-60,-35,-69,-81,-78,2
-12,-60,-62,-14,-71,-77,-71,2
-16,-58,-58,-13,-68,-76,-90,2
-21,-61,-62,-16,-76,-74,-74,2
-36,-57,-60,-20,-71,-74,-74,2
-39,-56,-58,-37,-64,-76,-72,2
-36,-57,-61,-38,-63,-79,-71,2
-38,-60,-57,-38,-65,-79,-76,2
-38,-55,-54,-42,-63,-78,-71,2
-38,-58,-53,-40,-63,-77,-70,2
-37,-61,-54,-37,-66,-74,-75,2
-41,-57,-51,-40,-66,-78,-71,2
-41,-53,-49,-38,-71,-69,-75,2
-42,-53,-50,-47,-66,-80,-69,2
-47,-55,-52,-49,-59,-78,-71,2
-41,-58,-53,-38,-65,-79,-72,2
-45,-58,-59,-42,-66,-81,-75,2
-41,-59,-53,-40,-69,-80,-78,2
-46,-58,-59,-40,-71,-78,-76,2
-42,-55,-57,-38,-71,-71,-76,2
-42,-56,-50,-43,-68,-76,-77,2
-41,-58,-58,-42,-64,-79,-80,2
-39,-56,-55,-41,-62,-69,-75,2
-38,-53,-53,-43,-78,-69,-75,2
-45,-58,-55,-38,-68,-76,-75,2
-40,-56,-53,-50,-71,-79,-78,2
-43,-58,-56,-41,-69,-79,-78,2
-45,-57,-58,-45,-77,-78,-80,2
-48,-58,-57,-45,-73,-86,-92,2
-38,-58,-60,-42,-66,-82,-79,2
-45,-58,-58,-40,-70,-86,-80,2
-40,-53,-56,-42,-69,-74,-78,2
-43,-60,-55,-46,-71,-76,-79,2
-41,-59,-54,-41,-58,-80,-80,2
-43,-59,-54,-39,-63,-79,-87,2
-39,-54,-53,-45,-68,-78,-81,2
-48,-56,-54,-39,-67,-78,-82,2
-43,-58,-56,-43,-67,-78,-82,2
-41,-57,-55,-43,-65,-71,-76,2
-39,-56,-54,-48,-61,-78,-67,2
-38,-54,-50,-42,-60,-71,-67,2
-38,-56,-53,-47,-61,-72,-83,2
-39,-56,-55,-39,-68,-74,-73,2
-38,-50,-71,-39,-68,-78,-74,2
-38,-57,-60,-39,-68,-73,-74,2
-37,-50,-53,-42,-65,-72,-71,2
-40,-50,-49,-51,-65,-75,-80,2
-38,-52,-56,-44,-65,-71,-75,2
-38,-51,-54,-45,-67,-72,-76,2
-40,-55,-47,-47,-64,-75,-79,2
-39,-56,-53,-40,-69,-75,-72,2
-43,-58,-50,-45,-71,-68,-74,2
-40,-53,-50,-40,-60,-69,-74,2
-38,-58,-59,-37,-66,-74,-67,2
-38,-63,-61,-43,-64,-76,-76,2
-37,-56,-58,-39,-66,-70,-72,2
-20,-63,-61,-35,-70,-73,-71,2
-39,-57,-55,-37,-67,-70,-73,2
-35,-58,-59,-40,-75,-75,-73,2
-19,-59,-55,-37,-73,-72,-66,2
-20,-56,-55,-37,-61,-79,-72,2
-35,-54,-55,-40,-61,-79,-73,2
-19,-60,-56,-36,-63,-70,-75,2
-15,-60,-59,-37,-65,-74,-73,2
-18,-60,-59,-17,-68,-75,-75,2
-19,-63,-66,-20,-79,-73,-72,2
-14,-59,-64,-16,-79,-76,-72,2
-13,-63,-65,-16,-74,-73,-74,2
